"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"ETHNMUS 68A - LI, C.",0.667,0.31,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 68O - VARIMEZOVA, T.T.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 91B - WENTEN, I.N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 91H - WIMBOPRASETYO,",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 91K - GUZMAN, J.A.",0.214,0.214,0.5,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 91P - TUNSTALL, J.D.",0.6,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 91Z - BRAGGER, D.M.",0.8,NA,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS M25 - RUSKIN, J.D.",0.557,0.27,0.043,0.026,0.009,0.065,0.004,NA,0.009,0.004,NA,0.004,0.009
"ETHNMUS M50A - DE CASTRO, P.J.",0.263,0.105,0.454,0.059,0.039,0.046,NA,0.007,0.026,NA,NA,NA,NA
"FILIPNO 1 - DOMINGO, N.P.",0.714,0.2,0.029,0.043,NA,0.014,NA,NA,NA,NA,NA,NA,NA
"FILM TV 101A - ANDERSON, S.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 102A - ANDERSON, S.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 108 - BROOK, V.M.",0.325,0.373,NA,0.084,0.024,0.157,NA,NA,0.012,0.012,NA,NA,0.012
"FILM TV 114 - KIRCHNER, C.",0.388,0.289,0.132,0.086,0.02,0.046,0.007,NA,0.013,NA,0.007,0.007,0.007
"FILM TV 122D - SMALLEY, K.L.",0.356,0.076,0.424,0.017,0.025,0.076,0.008,NA,0.008,0.008,NA,NA,NA
"FILM TV 122E - NUSE, D.",0.295,NA,0.614,0.023,NA,0.068,NA,NA,NA,NA,NA,NA,NA
"FILM TV 150 - MCDONALD, W.C.",0.867,0.067,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 154 - MARIN, E.",0.571,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 155 - BARMINSKI, W.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 163 - NURRISH, J.A.",0.286,0.143,0.5,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183B - PUOPOLO, M.T.",0.435,0.304,0.109,0.065,NA,0.087,NA,NA,NA,NA,NA,NA,NA
"FILM TV 184B - NAGLE, P.G.",0.85,0.125,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 194 - LIEBING, H.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 195CE - ANDERSON, S.F.",0.957,NA,NA,NA,NA,0.043,NA,NA,NA,NA,NA,NA,NA
"FILM TV 1A - MCDONALD, W.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 201A - CALDWELL, J.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 201B - MANN, D.R.",0.273,0.364,0.182,NA,NA,0.091,NA,NA,0.091,NA,NA,NA,NA
"FILM TV 206B - MANN, D.R.",0.3,0.2,0.2,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA
"FILM TV 215B - TRICE, J.N.",0.846,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 270 - FARBER, S.E.",0.579,0.368,NA,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"FILM TV 282A - LEVY, R.J.",0.533,0.4,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"FILM TV 288A - FRANKLIN, A.S.",0.833,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 290A - WILLIAMSON, G.P.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 292B - LEVY, R.J.",0.917,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 297A - MOCERI, N.P.",0.833,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 298A - ROSMAN, M.E.",0.125,0.625,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"FILM TV 33 - VOORHEES, L.",0.292,0.046,0.594,0.018,0.009,0.023,0.009,0.005,NA,NA,NA,NA,0.005
"FILM TV 4 - TRICE, J.N.",0.418,0.127,0.316,0.029,0.025,0.053,0.008,0.004,0.004,0.004,NA,0.004,0.008
"FILM TV 401 - WILSON, B.D.",0.609,0.174,0.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 408A - SMALLEY, K.L.",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 409 - SHAWHAN, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 410A - ROSMAN, M.E.",0.875,0.083,NA,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA
"FILM TV 410B - CANNON, P.J.",0.125,0.167,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 410C - GOOD, T.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 410D - HELM, F.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 419 - TOMARIC, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 423A - FRIAS, C.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 430 - LANDAU, N.",0.982,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 433 - SELDES ANNACONE, E",0.75,0.167,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"FILM TV 433 - SMITH, B.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 435 - GARY, G.E.",0.643,NA,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 435 - SELDES ANNACONE, E",0.3,0.4,0.2,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"FILM TV 453 - HALL, C.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 459A - KELLY, R.M.",0.778,NA,0.111,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"FILM TV 459A - SMITH, B.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 484A - VILPPU, G.V.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 488A - MORGAN, J.J.",0.385,0.154,0.308,0.077,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"FILM TV 498 - LIEBING, H.",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 596B - HUANG, G.J.",0.667,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 596B - NAGY, P.A.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 6A - KUNTZ, J.A.",0.287,0.317,0.006,0.128,0.049,0.165,0.012,NA,0.012,NA,0.006,NA,0.018
"FILM TV C247 - EVANS, J.N.",0.182,0.364,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV C417 - MCDONALD, W.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV C454B - RICHARDSON, N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV C454C - PARKER, S.B.",0.704,0.074,0.185,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA
"FILM TV C481A - SHEETZ, C.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV C481B - SHEETZ, C.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV M50 - HORNBY, L.E.",0.093,0.352,0.037,0.111,0.093,0.13,0.019,0.056,0.056,0.019,NA,0.019,0.019
"FOOD ST 27 - KIM, M.K.",0.675,0.05,NA,0.1,0.05,0.05,0.025,NA,0.025,NA,NA,0.025,NA
"FRNCH 1 - JANSMA, K.",0.321,0.174,0.055,0.174,0.046,0.119,0.009,NA,0.083,0.009,NA,NA,0.009
"FRNCH 100 - DENIE HIGNEY, L.M.",0.48,0.32,0.04,0.08,NA,0.08,NA,NA,NA,NA,NA,NA,NA
"FRNCH 114A - CARRON, J.",0.429,0.143,NA,0.143,0.071,0.143,NA,0.071,NA,NA,NA,NA,NA
"FRNCH 12 - STEFANOVSKA, M.",0.556,0.333,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRNCH 121 - MABANCKOU, A.M.",0.316,0.211,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRNCH 132 - MABANCKOU, A.M.",0.357,0.179,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRNCH 161 - HELOU, A.N.",0.543,0.171,0.086,NA,0.029,0.171,NA,NA,NA,NA,NA,NA,NA
"FRNCH 2 - JANSMA, K.",0.378,0.156,0.022,0.2,NA,0.244,NA,NA,NA,NA,NA,NA,NA
"FRNCH 202 - THOMAS, D.R.",0.909,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRNCH 3 - JANSMA, K.",0.24,0.2,0.08,0.14,0.02,0.24,0.02,NA,0.02,NA,0.02,NA,0.02
"FRNCH 4 - DENIE HIGNEY, L.M.",0.5,0.3,NA,0.1,NA,0.05,NA,0.05,NA,NA,NA,NA,NA
"FRNCH 4 - KREMMER, V.M.",0.333,0.111,NA,NA,0.111,0.444,NA,NA,NA,NA,NA,NA,NA
"FRNCH 41 - BROZGAL, L.N.",0.315,0.288,0.009,0.18,0.063,0.126,0.018,NA,NA,NA,NA,NA,NA
"FRNCH 5 - DENIE HIGNEY, L.M.",0.368,0.105,NA,0.158,0.105,0.211,NA,NA,0.053,NA,NA,NA,NA
"FRNCH 5 - DUVAL, E.",0.333,0.133,NA,0.067,NA,0.4,0.067,NA,NA,NA,NA,NA,NA
"FRNCH 6 - DENIE HIGNEY, L.M.",0.31,0.276,NA,0.276,0.034,0.069,0.034,NA,NA,NA,NA,NA,NA
"GENDER 10 - BASARUDIN, A.",0.234,0.269,0.154,0.109,0.04,0.171,0.006,NA,0.011,NA,NA,NA,0.006
"GENDER 102 - BASARUDIN, A.",0.227,0.136,0.273,0.091,NA,0.136,0.136,NA,NA,NA,NA,NA,NA
"GENDER 103 - GUZMAN, J.J.",0.468,0.065,0.194,0.081,NA,0.097,0.048,NA,0.048,NA,NA,NA,NA
"GENDER 134 - TRAWEEK, S.J.",0.387,0.323,NA,0.065,0.097,0.097,NA,0.032,NA,NA,NA,NA,NA
"GENDER 185 - LEE, M.J.",0.542,0.229,0.083,0.062,0.021,0.042,NA,0.021,NA,NA,NA,NA,NA
"GENDER 185 - PENA, C.L.",0.718,0.051,0.167,0.013,NA,0.026,0.013,NA,NA,0.013,NA,NA,NA
"GENDER 187 - TRAWEEK, S.J.",0.857,NA,NA,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"GENDER 201 - MARCHANT, E.A.",0.615,NA,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENDER 205 - HONG, K.",0.818,0.091,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENDER M147D - MARINO, K.M.",0.429,0.333,NA,0.048,NA,0.095,0.048,NA,NA,NA,NA,NA,0.048
"GENDER M162 - SAGUY, A.C.",0.093,0.185,0.037,0.241,0.074,0.13,0.074,NA,0.074,0.019,NA,0.019,0.056
"GEOG 111 - ROBINSON, C.M.",0.475,0.15,NA,0.175,0.025,0.1,0.025,NA,NA,NA,NA,NA,0.05
"GEOG 113 - GILLESPIE, T.W.",0.449,0.182,0.085,0.089,0.017,0.136,0.017,NA,0.025,NA,NA,NA,NA
"GEOG 145 - FAIER, L.B.",0.175,0.227,0.031,0.165,0.072,0.103,0.031,0.041,0.082,0.01,NA,NA,0.062
"GEOG 148 - AGNEW, J.A.",0.192,0.154,0.167,0.09,0.038,0.064,0.09,0.064,0.077,0.026,NA,0.026,0.013
"GEOG 150 - HERRERA, J.C.",0.522,0.087,0.287,0.026,0.009,0.052,NA,NA,0.009,NA,NA,NA,0.009
"GEOG 151 - LEITNER, H.M.",0.02,0.28,0.06,0.18,0.12,0.08,0.16,0.02,0.04,NA,NA,0.02,0.02
"GEOG 167 - SHIN, M.E.",0.523,0.215,NA,0.092,0.062,0.031,NA,0.015,0.015,0.031,0.015,NA,NA
"GEOG 169 - GILLESPIE, T.W.",0.508,0.169,0.185,0.062,NA,0.062,0.015,NA,NA,NA,NA,NA,NA
"GEOG 173 - SHENG, Y.",0.375,NA,NA,0.5,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"GEOG 180 - KAY, K.A.",0.483,0.138,0.017,0.103,NA,0.138,0.017,0.034,0.017,NA,NA,NA,0.052
"GEOG 2 - ILLES, L.I.",0.143,0.33,NA,0.231,0.066,0.121,0.033,0.033,0.011,NA,NA,NA,0.033
"GEOG 200A - SHEPPARD, E.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEOG 250 - LEITNER, H.M.",0.667,0.111,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEOG 4 - SHEPPARD, E.S.",0.321,0.241,0.058,0.109,0.051,0.182,0.007,NA,0.015,NA,NA,NA,0.015
"GEOG 5 - CAVANAUGH, K.C.",0.444,0.129,0.129,0.098,0.053,0.098,0.013,NA,0.027,NA,0.004,0.004,NA
"GEOG 7 - BURKHART, N.J.",0.328,0.209,0.015,0.127,0.03,0.201,0.037,0.007,0.022,NA,NA,0.007,0.015
"GEOG M106 - XUE, Y.",0.383,0.15,0.083,0.167,0.05,0.067,0.033,0.033,0.033,NA,NA,NA,NA
"GEOG M117 - ROBINSON, C.M.",0.308,0.115,NA,0.154,0.115,0.115,0.154,NA,0.038,NA,NA,NA,NA
"GEOG M171 - RIGBY, D.L.",0.706,0.235,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"GERMAN 1 - TARNAWSKA SENEL, M",0.25,0.217,0.367,0.05,0.017,0.05,0.033,NA,NA,NA,NA,NA,0.017
"GERMAN 109 - PRESNER, T.S.",0.714,0.171,0.029,0.029,0.029,NA,0.029,NA,NA,NA,NA,NA,NA
"GERMAN 155 - YILDIZ, Y.",0.417,0.5,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"GERMAN 2 - FUCHS, R.T.",0.167,0.167,0.5,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"GERMAN 3 - TARNAWSKA SENEL, M",0.476,0.143,0.238,0.048,0.048,0.048,NA,NA,NA,NA,NA,NA,NA
"GERMAN 4 - TARNAWSKA SENEL, M",0.235,0.176,0.235,0.059,0.059,NA,NA,0.059,0.059,NA,NA,NA,0.118
"GERMAN 59 - FUCHS, R.T.",0.306,0.122,0.399,0.035,0.003,0.079,0.017,0.009,0.009,0.006,NA,0.003,0.012
"GJ STDS 122A - HARRISON, C.A.",0.308,0.154,0.077,0.077,NA,0.308,NA,NA,NA,NA,0.077,NA,NA
"GJ STDS 127A - HENDELMAN, T.",0.286,0.071,0.429,NA,NA,0.214,NA,NA,NA,NA,NA,NA,NA
"GJ STDS 176A - OBA, H.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ STDS 176C - HARRISON, C.A.",0.632,NA,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ STDS 176D - O'FARRILL, A.",0.684,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ STDS 176F - LOZA, S.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ STDS 176G - LOZA, S.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ STDS M50A - DE CASTRO, P.J.",0.179,0.077,0.564,0.051,NA,0.103,NA,NA,0.026,NA,NA,NA,NA
"GLB HLT 160 - FARZANEGAN, M.",0.673,0.236,0.018,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 1 - POTTS, S.S.",0.329,0.3,0.033,0.113,0.019,0.178,0.005,NA,0.014,NA,0.005,0.005,NA
"GLBL ST 191 - MIN, E.A.",0.545,0.091,NA,0.091,0.091,0.182,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 191 - POTTS, S.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 191 - ZIPPERSTEIN, S.E.",0.412,0.294,0.118,0.118,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 194 - THIES, M.F.",0.581,0.209,NA,0.023,NA,0.093,NA,0.023,0.07,NA,NA,NA,NA
"GREEK 1 - ELLIS, R.M.",0.538,NA,0.385,NA,NA,NA,NA,0.077,NA,NA,NA,NA,NA
"GREEK 8A - ZENIOS, S.",0.7,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRNTLGY M142SL - LEVY-STORMS, L.F.",0.3,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBREW 110A - SMOAK, J.D.",0.75,0.15,NA,NA,0.05,0.05,NA,NA,NA,NA,NA,NA,NA
"HEBREW 1A - EZER, N.",0.667,0.111,NA,0.056,0.056,0.111,NA,NA,NA,NA,NA,NA,NA
"HIN-URD 1 - MAHAJAN, G.",0.5,0.276,0.086,0.034,NA,0.103,NA,NA,NA,NA,NA,NA,NA
"HIN-URD 100A - MAHAJAN, G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 101 - UNGOR, U.U.",0.667,0.037,NA,0.259,0.037,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 105A - MORONY, M.G.",0.355,0.129,NA,0.419,NA,0.097,NA,NA,NA,NA,NA,NA,NA
"HIST 111B - MOMDJIAN, M.",0.804,0.109,NA,0.022,NA,0.065,NA,NA,NA,NA,NA,NA,NA
"HIST 113A - PHILLIPS, D.D.",0.152,0.174,NA,0.109,0.065,0.261,0.065,0.043,0.043,NA,NA,0.043,0.043
"HIST 114A - LANGDON, J.S.",0.212,0.225,0.013,0.125,0.1,0.138,0.05,0.025,0.062,NA,NA,NA,0.05
"HIST 11B - GOLDMAN, A.S.",0.25,0.159,0.114,0.136,0.045,0.159,0.023,NA,NA,NA,NA,0.023,0.091
"HIST 121D - FRANK, S.",0.156,0.062,0.031,0.25,0.031,0.312,0.094,NA,0.031,NA,NA,NA,0.031
"HIST 121F - UNGOR, U.U.",0.5,0.139,0.028,0.111,0.083,0.111,NA,NA,NA,0.028,NA,NA,NA
"HIST 122A - STACEY, P.J.",0.264,0.226,0.198,0.085,0.066,0.094,0.019,NA,0.038,NA,NA,NA,0.009
"HIST 124B - FORD, C.C.",0.324,0.189,0.081,0.054,0.108,0.162,NA,NA,0.027,0.027,NA,NA,0.027
"HIST 125B - KEELEY, S.B.",0.258,0.161,NA,0.323,0.032,0.129,0.032,NA,0.032,NA,NA,NA,0.032
"HIST 132 - RENTON, K.E.",0.463,0.195,NA,0.098,NA,0.146,0.024,0.024,NA,NA,NA,NA,0.049
"HIST 13A - PESTANA, C.G.",0.129,0.248,NA,0.139,0.059,0.188,0.089,0.03,0.089,0.01,NA,0.02,NA
"HIST 140C - COREY, M.F.",0.519,0.308,0.005,0.014,0.009,0.145,NA,NA,NA,NA,NA,NA,NA
"HIST 141A - HILL, M.",0.471,0.088,0.029,0.147,0.059,0.118,0.029,0.029,NA,NA,NA,NA,0.029
"HIST 149A - MADLEY, B.L.",0.286,0.323,NA,0.105,0.053,0.188,0.008,0.008,0.015,NA,NA,NA,0.015
"HIST 170A - VON GLAHN, R.",0.241,0.241,NA,0.207,NA,0.138,0.034,NA,NA,NA,NA,0.034,0.103
"HIST 176C - SALMAN, M.",0.171,0.086,NA,0.114,0.143,0.314,0.029,NA,0.086,NA,NA,NA,0.057
"HIST 176E - HERR, J.C.",0.257,0.257,0.2,0.086,0.029,0.114,NA,NA,0.029,NA,NA,NA,0.029
"HIST 179A - ZELENY, C.L.",0.875,0.034,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 180A - CAHN, P.",0.211,0.158,0.526,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 180A - TERRALL, M.",0.114,0.229,0.086,0.171,0.086,0.257,NA,NA,NA,0.029,NA,NA,0.029
"HIST 187B - GOLDBERG, J.L.",0.438,0.25,NA,0.125,NA,0.188,NA,NA,NA,NA,NA,NA,NA
"HIST 187M - ROBINSON, G.",0.533,0.333,0.067,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 191C - FORD, C.C.",0.333,0.333,NA,0.067,NA,0.267,NA,NA,NA,NA,NA,NA,NA
"HIST 191C - MCCLENDON, M.C.",0.357,0.429,NA,0.071,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"HIST 191C - TUTINO, S.",0.538,0.077,NA,0.077,NA,0.077,NA,NA,0.231,NA,NA,NA,NA
"HIST 195CE - HIRANO, K.",0.933,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 1A - PHILLIPS, D.D.",0.275,0.261,0.029,0.123,0.065,0.174,0.029,NA,0.029,NA,NA,NA,0.014
"HIST 1C - JACOBY, R.",0.391,0.186,NA,0.126,0.042,0.172,0.028,0.014,0.028,NA,NA,0.005,0.009
"HIST 204A - HIRANO, K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 213A - MARINO, K.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 22 - STEIN, S.A.",0.294,0.385,0.017,0.061,0.039,0.16,0.004,0.009,0.013,0.004,0.004,NA,0.009
"HIST 3A - ALEXANDER, A.",0.482,0.184,0.175,0.044,0.009,0.088,NA,NA,NA,NA,NA,NA,0.018
"HIST 8A - TERRACIANO, K.B.",0.344,0.285,0.064,0.108,0.031,0.126,0.018,NA,0.013,NA,NA,0.008,0.003
"HIST 94 - SUBRAHMANYAM, S.",0.169,0.169,NA,0.262,0.154,0.077,0.046,0.015,0.062,0.031,NA,NA,0.015
"HIST 96W - HUDSON, P.J.",0.407,0.185,0.056,0.083,0.046,0.176,0.028,NA,0.009,0.009,NA,NA,NA
"HIST 97C - JACOBY, R.",0.6,0.133,NA,NA,0.067,0.133,NA,NA,NA,NA,NA,NA,0.067
"HIST 97C - SILVERMAN, D.L.",0.438,0.25,NA,0.062,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"HIST 97D - STEVENSON, B.",0.87,NA,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043
"HIST 97G - VON GLAHN, R.",0.125,0.125,NA,0.312,0.062,0.312,NA,NA,NA,NA,NA,NA,0.062
"HIST 9C - HIRANO, K.",0.498,0.251,0.036,0.049,0.027,0.103,0.013,0.004,0.009,NA,NA,NA,0.009
"HIST 9D - GELVIN, J.L.",0.553,0.282,NA,0.012,NA,0.129,0.012,0.012,NA,NA,NA,NA,NA
"HIST C187N - SUBRAHMANYAM, S.",0.222,0.444,NA,NA,0.111,0.222,NA,NA,NA,NA,NA,NA,NA
"HIST M108C - BOUM, A.",0.235,0.412,0.118,NA,NA,0.235,NA,NA,NA,NA,NA,NA,NA
"HIST M147D - MARINO, K.M.",0.487,0.303,NA,0.066,0.013,0.092,0.013,NA,NA,0.013,0.013,NA,NA
"HIST M151A - GOMEZ-QUINONES, J.",0.5,0.389,NA,0.056,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"HIST M182A - SMOAK, J.D.",0.4,0.15,NA,0.2,NA,0.15,NA,0.05,NA,0.05,NA,NA,NA
"HIST M186A - TAMBOLI, V.K.",0.2,0.15,0.1,0.05,0.05,0.3,NA,NA,0.05,NA,NA,NA,0.1
"HIST M4 - GOLDBERG, J.L.",0.31,0.207,0.069,0.138,0.069,0.103,NA,NA,0.034,NA,NA,0.034,0.034
"HIST M60 - SHAYEGAN, M.R.",0.143,0.143,0.314,0.057,0.114,0.086,0.029,NA,0.057,NA,NA,NA,0.057
"HLT POL 200A - BROOK, R.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 200A - BUSTAMANTE, A.V.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 200A - COWGILL, B.O.",0.857,0.095,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 203A - COMANOR, W.S.",0.5,0.286,NA,0.071,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"HLT POL 239A - ANDERSON, D.M.",0.308,0.231,NA,0.231,0.077,0.154,NA,NA,NA,NA,NA,NA,NA
"HLT POL 243 - KUO, A.A.",0.625,0.25,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"HLT POL 249 - TANOUYE, J.",0.913,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 266A - MAHAJAN, A.P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 286 - COWGILL, B.O.",0.867,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 400 - GALPER, M.R.",0.879,0.017,NA,0.052,NA,0.034,0.017,NA,NA,NA,NA,NA,NA
"HLT POL 403 - GALPER, M.R.",0.525,0.2,0.1,0.125,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"HLT POL 435 - POURAT, N.",0.474,0.263,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 436 - KHOURI, L.M.",0.25,0.167,0.292,0.167,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"HLT POL 439 - MOUCHERAUD, C.",0.129,0.065,0.742,NA,NA,0.032,0.032,NA,NA,NA,NA,NA,NA
"HLT POL 445 - ELGINER, J.A.",0.565,0.217,0.13,NA,0.043,0.043,NA,NA,NA,NA,NA,NA,NA
"HLT POL M236 - LU, Z.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL M420 - SMITH, K.A.",0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 119 - FRANKLIN, A.S.",0.889,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 124 - TERRALL, M.",0.118,0.529,0.059,NA,NA,0.294,NA,NA,NA,NA,NA,NA,NA
"HNRS 149 - ABRAMSON, P.R.",0.571,0.19,0.19,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"HNRS 150 - PIRE, F.A.",0.615,0.231,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 153 - LOWENSTEIN, D.H.",0.444,0.333,NA,0.111,NA,0.056,0.056,NA,NA,NA,NA,NA,NA
"HNRS 4 - MORENO, E.A.",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
