"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"FILM TV 410B - SWAIN, J.A.",0.167,0.083,0.667,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"FILM TV 410C - GOOD, T.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 419 - HENRY, J.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 430 - NAGY, P.A.",0.457,0.326,0.043,0.043,NA,0.13,NA,NA,NA,NA,NA,NA,NA
"FILM TV 433 - SELDES ANNACONE, E",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 433 - SMITH, B.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 435 - GARY, G.E.",0.519,NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 453 - HALL, C.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 459A - KELLY, R.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 483A - LETTERA, V.M.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 484A - VILPPU, G.V.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 489A - ISENBERG, C.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 498 - LIEBING, H.",0.143,NA,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 6A - KUSHIGEMACHI, T.",0.582,0.085,0.175,0.042,0.005,0.069,0.016,0.005,0.005,NA,NA,NA,0.016
"FILM TV C247 - DAVIS, S.",0.133,0.333,NA,0.2,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"FILM TV C454C - MEDOW, Z.D.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV C481A - WARD, D.A.",0.7,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV C481B - SHEETZ, C.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOOD ST 187 - SOTTONG, H.R.",0.364,0.182,0.091,NA,0.091,0.273,NA,NA,NA,NA,NA,NA,NA
"FOOD ST M136 - LANDECKER, H.L.",0.44,0.08,0.32,0.08,0.04,0.04,NA,NA,NA,NA,NA,NA,NA
"FRNCH 1 - JANSMA, K.",0.411,0.211,0.078,0.111,0.022,0.111,0.044,NA,0.011,NA,NA,NA,NA
"FRNCH 100 - DENIE HIGNEY, L.M.",0.739,0.217,NA,NA,NA,0.043,NA,NA,NA,NA,NA,NA,NA
"FRNCH 116 - CARRON, J.",0.286,0.143,0.286,0.143,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"FRNCH 121 - MABANCKOU, A.M.",0.571,0.143,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRNCH 139 - MURAT, L.",0.538,0.346,0.038,NA,0.038,NA,0.038,NA,NA,NA,NA,NA,NA
"FRNCH 164 - BROZGAL, L.N.",0.611,0.083,0.25,NA,0.028,NA,NA,NA,0.028,NA,NA,NA,NA
"FRNCH 2 - JANSMA, K.",0.457,0.2,0.057,0.057,NA,0.2,0.029,NA,NA,NA,NA,NA,NA
"FRNCH 3 - JANSMA, K.",0.429,0.19,0.032,0.143,NA,0.143,NA,NA,0.048,NA,NA,NA,0.016
"FRNCH 4 - DENIE HIGNEY, L.M.",0.556,0.222,NA,0.056,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"FRNCH 41 - BROZGAL, L.N.",0.454,0.21,0.076,0.084,0.034,0.126,NA,NA,0.008,NA,NA,NA,0.008
"FRNCH 5 - DENIE HIGNEY, L.M.",0.385,0.462,NA,0.077,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"FRNCH 5 - DUVAL, E.",0.353,0.529,NA,0.059,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"FRNCH 6 - DENIE HIGNEY, L.M.",0.56,0.28,0.04,0.08,NA,0.04,NA,NA,NA,NA,NA,NA,NA
"GENDER 10 - KORKMAN, Z.K.",0.269,0.056,0.64,0.01,0.005,0.015,NA,NA,0.005,NA,NA,NA,NA
"GENDER 102 - FINCH, A.",0.222,0.111,0.542,0.056,0.014,0.042,NA,NA,0.014,NA,NA,NA,NA
"GENDER 119 - RAZACK, S.H.",0.471,0.235,0.235,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"GENDER 123 - MARCHANT, E.A.",0.634,0.073,0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024
"GENDER 141 - KORKMAN, Z.K.",0.319,0.17,0.213,0.085,0.021,0.149,0.021,0.021,NA,NA,NA,NA,NA
"GENDER 187 - NORBERG, K.",0.8,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENDER 201 - MARCHANT, E.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENDER 205 - RAZACK, S.H.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENDER CM143 - SHORTER, D.D.",0.6,NA,0.3,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"GENDER M114 - WOOLSEY, M.F.",0.412,NA,0.441,0.059,NA,0.088,NA,NA,NA,NA,NA,NA,NA
"GENDER M133C - NORBERG, K.",0.389,0.333,0.056,0.111,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"GENDER M154P - LEVINE, N.",0.4,0.2,NA,0.3,NA,NA,0.1,NA,NA,NA,NA,NA,NA
"GENDER M172 - BAIN, B.R.",0.333,0.333,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEOG 117 - WARD, J.M.",0.275,0.15,0.038,0.225,0.05,0.175,0.013,NA,0.025,NA,NA,NA,0.05
"GEOG 158 - GOODWIN-WHITE, J.M",0.169,0.034,0.213,0.258,0.045,0.112,0.09,NA,0.056,NA,NA,NA,0.022
"GEOG 160 - HERRERA, J.C.",0.358,0.126,0.358,0.063,0.011,0.074,0.011,NA,NA,NA,NA,NA,NA
"GEOG 171B - HERRERA, J.C.",0.272,0.12,0.435,0.033,NA,0.109,NA,NA,0.011,NA,0.011,NA,0.011
"GEOG 172A - BELL, S.A.",0.543,0.239,0.065,0.043,0.022,0.087,NA,NA,NA,NA,NA,NA,NA
"GEOG 181A - SHENG, Y.",0.286,0.229,NA,0.171,0.057,0.171,0.029,NA,0.057,NA,NA,NA,NA
"GEOG 182A - ROBINSON, C.M.",0.87,0.022,NA,0.043,NA,0.043,NA,NA,NA,NA,NA,NA,0.022
"GEOG 191 - KAY, K.A.",0.81,NA,0.048,0.048,0.048,0.048,NA,NA,NA,NA,NA,NA,NA
"GEOG 2 - ROBINSON, C.M.",0.664,0.137,NA,0.115,0.008,0.046,0.008,NA,0.008,0.008,NA,NA,0.008
"GEOG 200A - SHEPPARD, E.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEOG 236 - KAY, K.A.",0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEOG 250 - LEITNER, H.M.",0.556,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEOG 3 - FAIER, L.B.",0.455,0.259,0.036,0.062,0.018,0.098,0.027,NA,0.027,NA,NA,NA,0.018
"GEOG 4 - RIGBY, D.L.",0.152,0.232,0.009,0.205,0.071,0.205,0.036,0.009,0.036,0.018,NA,0.018,0.009
"GEOG 5 - CAVANAUGH, K.C.",0.414,0.139,0.204,0.093,0.025,0.08,0.015,0.009,0.009,0.003,NA,NA,0.009
"GEOG 7 - BURKHART, S.N.",0.484,0.258,NA,0.094,0.023,0.078,0.016,0.008,0.016,NA,NA,NA,0.023
"GEOG M118 - XUE, Y.",0.379,0.103,0.069,0.224,0.034,0.103,0.017,NA,0.069,NA,NA,NA,NA
"GEOG M126 - MACDONALD, G.M.",0.15,0.342,0.067,0.117,0.083,0.15,0.025,0.033,0.033,NA,NA,NA,NA
"GEOG M186 - RIGBY, D.L.",0.591,0.318,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,0.045
"GERMAN 1 - TARNAWSKA SENEL, M",0.474,0.088,0.368,NA,0.018,0.035,NA,NA,0.018,NA,NA,NA,NA
"GERMAN 110 - YILDIZ, Y.",0.812,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GERMAN 152 - TARNAWSKA SENEL, M",0.333,NA,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GERMAN 2 - TARNAWSKA SENEL, M",0.583,NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GERMAN 3 - TARNAWSKA SENEL, M",0.429,0.214,0.071,0.071,NA,0.214,NA,NA,NA,NA,NA,NA,NA
"GERMAN 4 - FUCHS, R.T.",0.222,0.222,0.444,NA,NA,NA,NA,NA,NA,NA,NA,0.111,NA
"GERMAN 59 - PRESNER, T.S.",0.793,0.017,0.172,NA,NA,0.017,NA,NA,NA,NA,NA,NA,NA
"GJ STDS 122A - HARRISON, C.A.",0.4,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ STDS 127A - HENDELMAN, T.",0.467,0.2,0.267,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ STDS 129A - HENDELMAN, T.",0.533,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067
"GJ STDS 176B - OBA, H.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ STDS 176D - O'FARRILL, A.",0.067,NA,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ STDS M12A - DOLEAC, B.G.",0.25,0.125,0.5,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"GJ STDS M50A - DE CASTRO, P.J.",0.154,0.051,0.769,NA,NA,NA,NA,NA,0.026,NA,NA,NA,NA
"GLB HLT 160 - FARZANEGAN, M.",0.822,NA,0.067,0.044,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 1 - POTTS, S.S.",0.46,0.27,0.013,0.088,0.022,0.133,0.004,NA,0.004,NA,0.004,NA,NA
"GLBL ST 160 - ZIPPERSTEIN, S.E.",0.786,0.107,NA,0.089,NA,0.018,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 191 - APPEL, H.C.",0.765,0.118,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 191 - PETERS, M.E.",0.615,0.231,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 191 - RAUSTIALA, K.",0.444,0.444,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 194 - THIES, M.F.",0.816,0.132,NA,0.026,NA,0.026,NA,NA,NA,NA,NA,NA,NA
"GREEK 1 - ELLIS, R.M.",0.471,0.118,0.353,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"GREEK 200A - PURVES, A.C.",NA,0.2,0.6,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"GREEK 8A - ZENIOS, S.",0.636,0.182,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRNTLGY M142SL - LEVY-STORMS, L.F.",0.214,0.071,0.643,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBREW 102A - EZER, N.",0.714,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBREW 1A - EZER, N.",0.75,NA,0.125,NA,0.062,0.062,NA,NA,NA,NA,NA,NA,NA
"HIN-URD 1 - MAHAJAN, G.",0.294,0.147,0.397,0.044,0.015,0.074,NA,NA,0.029,NA,NA,NA,NA
"HIN-URD 100A - MAHAJAN, G.",0.25,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 101 - DERBY, L.",0.233,0.189,0.078,0.2,0.078,0.144,0.044,0.011,0.011,NA,NA,NA,0.011
"HIST 105A - MORONY, M.G.",0.471,0.147,NA,0.324,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"HIST 10B - WORGER, W.H.",0.175,0.067,0.652,0.015,0.013,0.039,0.013,NA,0.013,NA,NA,NA,0.013
"HIST 111B - MOMDJIAN, M.",0.639,0.056,0.278,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 113A - PHILLIPS, D.D.",0.107,0.214,0.071,0.179,0.036,0.179,0.036,0.036,0.036,NA,NA,0.036,0.071
"HIST 114A - LANGDON, J.S.",0.25,0.172,0.016,0.109,0.125,0.156,0.031,0.031,0.016,NA,NA,NA,0.094
"HIST 119B - RUIZ, T.F.",0.484,0.148,0.292,0.006,0.013,0.044,0.009,NA,NA,NA,NA,NA,0.003
"HIST 11A - VON GLAHN, R.",0.172,0.276,0.034,0.034,0.069,0.276,0.034,NA,0.069,NA,NA,NA,0.034
"HIST 120A - JOVANOVIC, M.",0.323,0.097,0.161,0.161,0.032,0.194,NA,0.032,NA,NA,NA,NA,NA
"HIST 121D - FRANK, S.",0.429,0.229,0.057,0.029,0.029,0.171,NA,NA,NA,NA,NA,NA,0.057
"HIST 12B - KELLEY, R.D.",0.681,0.185,0.034,0.055,0.004,0.038,NA,0.004,NA,NA,NA,NA,NA
"HIST 135A - SUBRAHMANYAM, S.",0.459,0.243,NA,0.027,NA,0.27,NA,NA,NA,NA,NA,NA,NA
"HIST 138A - YIRUSH, C.B.",0.206,0.176,0.147,0.059,0.088,0.147,0.088,0.029,NA,NA,NA,NA,0.059
"HIST 139A - HARVELL, E.E.",0.353,0.147,0.324,NA,0.029,0.118,NA,NA,NA,NA,NA,NA,0.029
"HIST 13A - MERANZE, M.",0.203,0.304,NA,0.089,0.101,0.215,0.038,0.013,0.025,NA,NA,NA,0.013
"HIST 141B - HILL, M.",0.541,0.135,NA,0.108,NA,0.135,NA,0.027,NA,0.054,NA,NA,NA
"HIST 149A - MADLEY, B.L.",0.267,0.36,NA,0.093,0.035,0.221,NA,NA,NA,NA,NA,NA,0.023
"HIST 164B - ROSENFELD, S.",0.353,0.147,0.294,0.059,0.029,0.088,0.029,NA,NA,NA,NA,NA,NA
"HIST 166B - LYDON, G.E.",0.3,0.333,0.033,0.167,NA,0.1,NA,NA,0.067,NA,NA,NA,NA
"HIST 167B - WINT, H.",0.368,0.053,0.368,0.105,NA,0.053,NA,NA,NA,NA,NA,NA,0.053
"HIST 172C - MAROTTI, W.",0.152,0.303,0.091,0.212,0.061,0.152,NA,NA,0.03,NA,NA,NA,NA
"HIST 174F - LAL, V.",0.19,0.19,NA,0.238,NA,0.381,NA,NA,NA,NA,NA,NA,NA
"HIST 179A - ZELENY, C.L.",0.85,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 180A - LAWRENCE, A.",0.25,0.278,0.167,0.139,0.028,0.139,NA,NA,NA,NA,NA,NA,NA
"HIST 187C - NORBERG, K.",0.308,0.231,0.154,NA,NA,0.077,0.154,NA,NA,NA,NA,NA,0.077
"HIST 187D - YIRUSH, C.B.",0.077,0.308,NA,0.231,0.077,0.308,NA,NA,NA,NA,NA,NA,NA
"HIST 187I - MOORE-SHEELEY, K.J",0.273,0.182,0.091,0.091,0.182,0.091,NA,NA,NA,NA,NA,NA,0.091
"HIST 189 - RUIZ, T.F.",0.684,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 191C - FORD, C.C.",0.467,0.333,0.067,NA,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"HIST 191C - JOVANOVIC, M.",0.357,0.071,0.286,0.143,NA,0.071,NA,NA,NA,NA,NA,NA,0.071
"HIST 191C - PAUL, T.",0.3,0.2,0.2,NA,0.1,0.1,NA,NA,NA,0.1,NA,NA,NA
"HIST 1A - PHILLIPS, D.D.",0.394,0.222,0.111,0.081,0.02,0.152,0.01,0.01,NA,NA,NA,NA,NA
"HIST 1C - FORD, C.C.",0.272,0.328,0.111,0.061,0.039,0.139,0.006,0.017,0.017,NA,NA,NA,0.011
"HIST 20 - GREEN, N.S.",0.294,0.258,0.129,0.11,0.049,0.16,NA,NA,NA,NA,NA,NA,NA
"HIST 204A - PESTANA, C.G.",0.688,0.062,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 214 - VON GLAHN, R.",0.385,0.538,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"HIST 3A - ALEXANDER, A.",0.565,0.185,0.083,0.037,0.019,0.083,NA,0.009,0.009,NA,0.009,NA,NA
"HIST 8A - TERRACIANO, K.B.",0.511,0.17,0.216,0.027,0.015,0.042,0.004,NA,0.008,NA,NA,NA,0.008
"HIST 94 - TUTINO, S.",0.509,0.237,0.035,0.088,NA,0.079,0.018,NA,0.026,NA,NA,NA,0.009
"HIST 96W - HUDSON, P.J.",0.34,0.233,0.194,0.058,0.019,0.097,0.01,0.01,0.019,0.019,NA,NA,NA
"HIST 97C - SILVERMAN, D.L.",0.25,0.167,0.167,0.083,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"HIST 97C - TUTINO, S.",0.389,0.111,0.111,0.111,0.056,0.167,NA,NA,0.056,NA,NA,NA,NA
"HIST 9D - GELVIN, J.L.",0.968,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST C187O - MYERS, D.N.",0.667,NA,0.067,0.2,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"HIST C187O - SUBRAHMANYAM, S.",0.4,0.4,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.1
"HIST M108C - BOUM, A.",0.846,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST M133C - NORBERG, K.",0.398,0.118,0.194,0.075,0.032,0.129,NA,NA,0.054,NA,NA,NA,NA
"HIST M182A - SMOAK, J.D.",0.37,0.259,0.037,0.074,NA,0.222,NA,NA,0.037,NA,NA,NA,NA
"HLT POL 197 - KUO, A.A.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 200A - COWGILL, B.O.",0.815,0.074,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 225A - MACINKO, J.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 239A - ANDERSON, D.M.",0.545,0.091,0.273,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 243 - KUO, A.A.",0.75,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 286 - COWGILL, B.O.",0.897,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 400 - ERSKINE, L.S.",0.6,0.15,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 400 - GALPER, M.R.",0.75,0.1,0.1,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 403 - GALPER, M.R.",0.658,0.105,0.105,0.053,NA,0.079,NA,NA,NA,NA,NA,NA,NA
"HLT POL 436 - ARMENTROUT-WISWALL",0.381,0.095,0.476,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 439 - MOUCHERAUD, C.",0.02,0.098,0.863,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA
"HLT POL 440A - BALDWIN, K.M.",0.857,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 440A - HINSHAW, J.B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 441 - REISCHL, H.H.",0.864,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL 445 - ELGINER, J.A.",0.632,NA,0.316,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"HLT POL M236 - LU, Z.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLT POL M242 - ZIMMERMAN, F.J.",0.824,0.118,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 112 - ARDAM, J.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 119 - FRANKLIN, A.S.",0.786,NA,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 130 - NOBLE, C.I.",0.864,NA,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 149 - ABRAMSON, P.R.",0.625,0.156,0.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 150 - PIRE, F.A.",0.296,0.333,0.259,0.037,NA,0.074,NA,NA,NA,NA,NA,NA,NA
"HNRS 158 - LOWENSTEIN, D.H.",0.188,0.375,NA,0.062,0.188,0.188,NA,NA,NA,NA,NA,NA,NA
"HNRS 166 - KLENIN, E.R.",0.143,NA,0.81,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"HNRS 171 - TENHOUTEN, W.D.",0.714,NA,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNRS 81 - SOTO, C.",0.333,0.222,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUM GEN 236A - CANTOR, R.M.",0.417,0.167,0.333,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"HUM GEN 400A - DORRANI, N.",0.4,0.2,NA,0.1,0.1,0.2,NA,NA,NA,NA,NA,NA,NA
"HUM GEN 401 - PALMER, C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUM GEN 406 - WONG, D.A.",0.5,0.2,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA
"HUM GEN 430 - DEIGNAN, J.L.",0.2,0.2,NA,0.2,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"I A STD 1 - MOORE, A.D.",0.792,0.083,NA,0.042,0.031,0.021,NA,0.01,0.01,0.01,NA,NA,NA
"I A STD 191 - LEE, Y.B.",0.286,0.143,0.238,0.095,NA,0.143,0.048,NA,0.048,NA,NA,NA,NA
"I M STD 155 - AGADJANIAN, V.",0.333,NA,0.25,0.167,0.167,NA,NA,NA,NA,0.083,NA,NA,NA
"INDO 1 - WIJAYA, J.",0.6,NA,0.2,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"INDO 100A - WIJAYA, J.",0.385,0.231,0.154,0.077,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"INF STD 206 - LIEVROUW, L.A.",0.583,NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 211 - DRUCKER, J.R.",0.732,0.125,0.125,NA,NA,0.018,NA,NA,NA,NA,NA,NA,NA
"INF STD 214 - SRINIVASAN, R.",0.182,0.364,NA,0.364,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"INF STD 260 - FURNER, J.",0.879,0.061,NA,NA,NA,0.061,NA,NA,NA,NA,NA,NA,NA
"INF STD 260 - LEAZER, G.H.",0.955,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - ELLIOTT, M.G.",0.333,0.583,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - GOSART, J.O.",0.267,0.067,0.467,0.067,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - HADUONG, M.",0.529,0.235,NA,0.118,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - POSNER, M.",0.897,0.034,0.034,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 30 - VANCOUR, S.G.",0.178,0.311,NA,0.178,0.044,0.289,NA,NA,NA,NA,NA,NA,NA
"INF STD 423 - MONTOYA, R.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 431 - RAMIREZ, M.H.",0.439,0.341,0.073,NA,NA,0.146,NA,NA,NA,NA,NA,NA,NA
"INF STD 432 - ELDER, R.K.",0.824,0.059,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INTL DV 1 - ANJUM, E.",0.338,0.376,0.048,0.048,0.029,0.148,NA,NA,0.005,NA,NA,NA,0.01
"INTL DV 191 - HARRIS, K.K.",0.667,0.278,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"INTL DV M150 - ROSS, M.L.",0.656,0.125,0.031,0.125,NA,0.047,0.016,NA,NA,NA,NA,NA,NA
"IRANIAN 102A - HAGIGI, L.E.",0.857,0.071,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 103A - INGENITO, D.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 164 - MOUSAVI, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 1A - POURZANGI, B.",0.826,0.13,NA,NA,NA,0.043,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 20A - HAGIGI, L.E.",0.75,0.167,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 55 - INGENITO, D.",0.319,0.188,0.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN M105A - SAIEDI, N.",0.957,0.022,NA,NA,NA,0.022,NA,NA,NA,NA,NA,NA,NA
"ISLM ST M20 - SAYEED, A.",0.639,0.096,NA,0.096,0.012,0.108,0.024,NA,NA,NA,NA,NA,0.024
"ITALIAN 1 - LAVAGNINO, C.G.",0.25,0.167,0.458,0.042,0.042,0.042,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 1 - TOGNOZZI, E.A.",0.486,0.086,0.114,0.057,0.029,0.2,NA,NA,0.029,NA,NA,NA,NA
"ITALIAN 1 - TRUONG, H.T.",0.297,0.108,0.27,0.027,0.054,0.135,0.054,NA,NA,NA,NA,0.027,0.027
"ITALIAN 110 - MOUDARRES, A.",0.579,0.105,0.158,0.026,0.026,0.053,NA,NA,0.026,NA,NA,NA,0.026
"ITALIAN 2 - TOGNOZZI, E.A.",0.4,0.067,0.067,0.267,NA,0.067,0.067,NA,0.067,NA,NA,NA,NA
"ITALIAN 3 - TOGNOZZI, E.A.",0.3,0.25,0.35,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 4 - TOGNOZZI, E.A.",0.714,NA,0.143,0.071,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 6 - TOGNOZZI, E.A.",0.182,NA,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 1 - KAWANISHI, Y.",0.573,0.147,0.227,0.013,NA,0.027,NA,0.013,NA,NA,NA,NA,NA
"JAPAN 1 - TAKAKURA, A.H.",0.526,0.128,0.321,0.013,NA,0.013,NA,NA,NA,NA,NA,NA,NA
"JAPAN 100A - NOGAMI, Y.",0.154,0.462,NA,0.115,0.038,0.115,NA,0.077,NA,NA,NA,NA,0.038
"JAPAN 100R - TAYLOR, Y.",0.4,0.25,0.05,0.2,0.05,0.05,NA,NA,NA,NA,NA,NA,NA
"JAPAN 101A - KAWANISHI, Y.",0.591,0.091,0.182,0.045,NA,NA,NA,NA,0.045,NA,NA,NA,0.045
"JAPAN 110A - SHIMAZAKI, S.",0.588,0.235,NA,0.059,NA,NA,NA,NA,NA,0.059,NA,0.059,NA
"JAPAN 155 - SHIMA, K.M.",0.45,0.025,0.5,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 4 - LEE, D.",0.485,0.273,0.061,0.061,0.03,0.091,NA,NA,NA,NA,NA,NA,NA
